time,loss,left,right,up,down,highest_reward,average_reward,steps,games,step_per_games
82,-0.11339572,1859,951,0,1233,2.0,-0.4642113,4043,518,7
83,-0.11202933,1854,945,0,1242,2.2,-0.44080806,4041,510,7
84,-0.10117567,1805,972,0,1270,2.6999998,-0.43222284,4047,503,8
85,-0.11264832,1833,954,0,1244,1.8000002,-0.47407764,4031,521,7
86,-0.112558916,1824,986,0,1239,2.3,-0.45132262,4049,521,7
87,-0.106371954,1811,995,0,1254,1.8000002,-0.45578954,4060,507,8
88,-0.11572887,1805,970,1,1264,2.4,-0.46015048,4040,511,7
89,-0.09965694,1823,933,0,1299,2.7,-0.41573524,4055,505,8
90,-0.098370336,1829,913,0,1319,1.8000002,-0.42698961,4061,510,7
91,-0.10178536,1831,928,0,1270,2.6999998,-0.4649059,4029,507,7
92,-0.099460356,1872,907,0,1270,2.6000001,-0.4160051,4049,505,8
93,-0.09717181,1853,908,0,1296,2.6999998,-0.4065334,4057,509,7
94,-0.08450333,1863,827,0,1353,2.6999993,-0.41377836,4043,510,7
95,-0.07023025,1825,841,0,1394,2.6999998,-0.40642995,4060,497,8
96,-0.060029972,1821,822,0,1395,2.7000003,-0.43826285,4038,511,7
97,-0.085728906,1829,812,0,1399,2.6000001,-0.4487888,4040,510,7
98,-0.07759088,1838,826,0,1378,2.5,-0.4324111,4042,515,7
99,-0.05967543,1824,802,0,1430,1.8000002,-0.46479425,4056,514,7
100,-0.07040491,1773,834,0,1436,2.5,-0.43863612,4043,511,7
101,-0.07003064,1808,839,0,1402,2.3000002,-0.44756868,4049,509,7
102,-0.070335604,1802,859,0,1384,1.8000002,-0.44998923,4045,508,7
103,-0.0868151,1789,899,0,1356,2.0,-0.43395275,4044,499,8
104,-0.077052675,1831,832,0,1390,2.7,-0.45719358,4053,513,7
105,-0.09450285,1803,853,0,1380,2.6999998,-0.4149172,4036,502,8
106,-0.090205945,1856,850,0,1334,2.5,-0.45143694,4040,511,7
107,-0.09755546,1858,885,0,1320,2.5,-0.44752792,4063,512,7
108,-0.09176998,1826,887,0,1334,2.6999996,-0.43059215,4047,508,7
109,-0.08416729,1817,908,0,1313,2.6000001,-0.4346226,4038,511,7
110,-0.09856885,1829,912,0,1302,1.9000001,-0.42728302,4043,504,8
111,-0.0902933,1837,900,0,1310,2.6,-0.42928255,4047,511,7
112,-0.087624505,1867,891,0,1279,2.1,-0.41805935,4037,509,7
113,-0.09268758,1895,856,0,1298,2.6999998,-0.4422588,4049,507,7
114,-0.07959657,1854,835,0,1355,3.5999994,-0.42393824,4044,504,8
115,-0.074432015,1849,831,0,1373,2.6999998,-0.44419113,4053,507,7
116,-0.07387845,1849,826,0,1360,2.6,-0.4173742,4035,499,8
117,-0.06263696,1870,789,0,1394,2.0000002,-0.451272,4053,516,7
118,-0.066071704,1890,777,0,1375,2.3999996,-0.48070422,4042,529,7
119,-0.059200443,1835,800,0,1418,1.8000002,-0.4596612,4053,514,7
120,-0.068348296,1853,787,0,1403,2.8999999,-0.419962,4043,506,7
121,-0.05036736,1852,757,0,1434,2.6,-0.46337032,4043,514,7
122,-0.066190116,1853,803,0,1385,2.6,-0.4516225,4041,517,7
123,-0.0349549,1794,809,0,1439,2.4,-0.4206346,4042,497,8
124,-0.046344332,1840,798,0,1400,2.6,-0.42853045,4038,503,8
125,-0.05286249,1813,787,0,1440,1.8000002,-0.46807066,4040,519,7
126,-0.050117172,1801,801,0,1435,2.7,-0.46812147,4037,503,8
127,-0.038931377,1772,835,0,1444,2.8000002,-0.4184166,4051,503,8
128,-0.05196718,1796,831,0,1416,2.6999998,-0.41034007,4043,497,8
129,-0.05636005,1824,820,0,1404,2.7,-0.44041646,4048,509,7
130,-0.0666355,1838,868,0,1335,2.7,-0.4285341,4041,509,7
131,-0.07731429,1849,866,0,1332,2.6,-0.46007073,4047,523,7
132,-0.086539194,1841,857,0,1344,2.0,-0.43827453,4042,510,7
133,-0.075541615,1854,875,0,1314,2.6000001,-0.44704586,4043,514,7
134,-0.059497774,1866,817,0,1360,2.6999996,-0.42859408,4043,509,7
135,-0.066662624,1867,809,1,1369,2.6999998,-0.3888792,4046,504,8
136,-0.075442284,1854,832,0,1367,2.3000002,-0.44389495,4053,512,7
137,-0.06163094,1862,822,0,1373,2.1,-0.4503837,4057,515,7
138,-0.07485615,1869,821,0,1354,1.8000002,-0.42517433,4044,510,7
139,-0.07266554,1839,839,0,1378,3.7999997,-0.45549935,4056,518,7
140,-0.0668454,1845,837,0,1375,3.6,-0.43441105,4057,516,7
141,-0.06105417,1853,850,0,1348,2.7,-0.40056896,4051,494,8
142,-0.06578555,1881,821,0,1339,2.6999998,-0.4210109,4041,505,8
143,-0.062100146,1878,838,0,1325,2.8999996,-0.41153282,4041,502,8
144,-0.05434328,1835,835,0,1380,3.1,-0.42871743,4050,501,8
145,-0.05924098,1841,831,0,1371,2.8,-0.4289403,4043,502,8
146,-0.07441482,1859,830,0,1364,2.9,-0.43217516,4053,507,7
147,-0.064088315,1839,858,0,1352,2.6000001,-0.45186606,4049,510,7
148,-0.06565652,1855,819,0,1391,2.8,-0.41663137,4065,518,7
149,-0.06020957,1857,784,0,1404,1.8000002,-0.4141919,4045,512,7
150,-0.043661077,1832,797,0,1417,2.6,-0.41213688,4046,501,8
151,-0.05251212,1827,787,0,1443,2.0,-0.47905,4057,520,7
152,-0.0628751,1850,785,0,1402,3.3999999,-0.43421006,4037,515,7
153,-0.069221586,1844,801,0,1402,2.4,-0.45344844,4047,513,7
154,-0.07531744,1868,824,0,1353,2.6,-0.45050827,4045,518,7
155,-0.08148363,1875,846,0,1336,2.7000003,-0.40764216,4057,500,8
156,-0.088627994,1879,847,0,1325,2.3000002,-0.43033952,4051,509,7
157,-0.07591936,1837,865,0,1349,2.7000003,-0.41762632,4051,507,7
158,-0.0717352,1808,878,0,1363,2.6999998,-0.43166378,4049,502,8
159,-0.081141695,1794,904,0,1342,2.3000002,-0.41208065,4040,504,8
160,-0.081797265,1822,931,0,1281,2.6,-0.401588,4034,509,7
161,-0.09309347,1830,939,0,1301,2.6999998,-0.4370036,4070,520,7
162,-0.07980106,1841,916,0,1304,2.6999993,-0.39901614,4061,513,7
163,-0.098083004,1803,947,0,1298,2.7,-0.41833153,4048,506,8
164,-0.084952004,1806,946,0,1299,2.6999998,-0.42471147,4051,516,7
165,-0.0864837,1805,903,0,1351,2.3999996,-0.46400717,4059,510,7
166,-0.090850435,1793,890,0,1362,2.8999996,-0.42225102,4045,517,7
167,-0.06606682,1801,871,0,1371,2.6999996,-0.40010053,4043,512,7
168,-0.068369225,1754,883,0,1408,2.6,-0.42326492,4045,513,7
169,-0.060806222,1792,857,0,1390,2.6,-0.4474391,4039,527,7
170,-0.058323056,1757,854,0,1436,2.5,-0.40904498,4047,509,7
171,-0.06437131,1761,901,0,1373,2.5,-0.41278958,4035,508,7
172,-0.07264901,1772,897,0,1366,3.1,-0.42599875,4035,509,7
173,-0.08935154,1787,928,0,1336,2.3999999,-0.392867,4051,506,8
174,-0.0859411,1771,1000,0,1264,2.6999998,-0.4078081,4035,499,8
